;pleasant_aspects_themes;pleasant_aspects_keywords
204;ux;ux|interface|g?ui($|\W)
210;hosting,ecosystem,ux;looks (nice|great)|appealing|beautiful|pretty|elegant|appearance,web|browser|http,intuitive,github,docker
211;persistence,ux;(auto)?sav(e|ing),ux|interface|g?ui($|\W),simpl(e|icity)|clean
216;interactivity,dissemination;pdf,export,cells?
219;interactivity,persistence;persist(ence|ent)?,repl
220;language,ux;web|browser|http,editor,i?python
221;;
227;interactivity,ecosystem;pandas,explor(e|atory)|experiment|sandbox|prototype,librar(y|ies)
229;interactivity,visualization,dissemination;visual|eye candy,shar(e|ing),repl
231;language,ux,integrated_content;ux|interface|g?ui($|\W),notes|comments,i?python,integrated?
232;integrated_content;mark(up|down)|HTML
235;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?
237;visualization,dissemination,ecosystem,ux,integrated_content;simpl(e|icity)|clean,in-?line,github,ux|interface|g?ui($|\W),mark(up|down)|HTML,render,plot(ting)?,latex
238;interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,keyboard|hotkeys?|short-?cuts?|keybindings?
239;ux,integrated_content;ux|interface|g?ui($|\W),mark(up|down)|HTML
243;dissemination,integrated_content,ux;rich (content|output)|figures?|pictures?|images?|media,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,shar(e|ing),simpl(e|icity)|clean,in-?line
246;ecosystem,ux,integrated_content;matplotlib,web|browser|http,combine|(text|code) (and|with)|and (code|text)
248;dissemination,ux;slides?,web|browser|http
249;visualization,integrated_content;plot(ting)?,in-?line
250;dissemination,hosting,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,reproducibility,install
252;visualization,integrated_content;graph(s|ic|ing),integrated?
254;persistence,ux,integrated_content;rich (content|output)|figures?|pictures?|images?|media,ux|interface|g?ui($|\W),simpl(e|icity)|clean,persist(ence|ent)?
258;dissemination,ux;intuitive,shar(e|ing)
259;visualization,integrated_content,extensible;visual|eye candy,custom,integrated?,vi(s|z)ualization,latex
261;dissemination,integrated_content;pdf,mark(up|down)|HTML
262;ux;ux|interface|g?ui($|\W),simpl(e|icity)|clean
263;dissemination,integrated_content,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,shar(e|ing),export,mark(up|down)|HTML,combine|(text|code) (and|with)|and (code|text)
264;visualization,integrated_content,ux;visual|eye candy,ux|interface|g?ui($|\W),in-?line,vi(s|z)ualization
267;dissemination,ecosystem,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,shar(e|ing),nbgrader
268;visualization,ecosystem,ux,integrated_content;matplotlib,plot(ting)?,keyboard|hotkeys?|short-?cuts?|keybindings?,mark(up|down)|HTML
270;integrated_content;rich (content|output)|figures?|pictures?|images?|media,latex
271;interactivity,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,rich (content|output)|figures?|pictures?|images?|media,run
275;interactivity,integrated_content;workflow,combine|(text|code) (and|with)|and (code|text)
277;dissemination,integrated_content;mark(up|down)|HTML,rich (content|output)|figures?|pictures?|images?|media,nbconvert,in-?line,mathjax
278;language,ux;web|browser|http,i?python
279;visualization,integrated_content;plot(ting)?,in-?line
282;integrated_content;litera(te|cy) programming,latex
284;interactivity,visualization,ecosystem,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,plot(ting)?,pandas,in-?line,mark(up|down)|HTML
286;dissemination,integrated_content;rich (content|output)|figures?|pictures?|images?|media,in-?line,shar(e|ing),nbconvert,collaborat(e|ion|ive|ors)
290;;
293;visualization,ux,integrated_content;doc(s|umentation)?($|\W),graph(s|ic|ing),integrated?
295;visualization,integrated_content;graph(s|ic|ing),in-?line
298;dissemination;shar(e|ing)
300;dissemination,integrated_content;rich (content|output)|figures?|pictures?|images?|media,shar(e|ing),nbviewer
305;hosting,ux,integrated_content;remote,web|browser|http,mark(up|down)|HTML
309;integrated_content;mark(up|down)|HTML
310;interactivity,ecosystem,ux;cells?,magics?,completion,tool(ing)?
311;visualization,ecosystem;visual|eye candy,magics?
312;interactivity,visualization,language,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,languages?,in-?line,(ipy)?widgets
314;interactivity;explor(e|atory)|experiment|sandbox|prototype
316;ux;aesthetic(s|ally),completion
323;interactivity,persistence;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,persist(ence|ent)?
324;;
330;dissemination,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,presentations?
332;interactivity,visualization,integrated_content,ux;completion,plot(ting)?,cells?,in-?line
333;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
334;stability,ux;simpl(e|icity)|clean,robust
336;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?
338;hosting,integrated_content,extensible;rich (content|output)|figures?|pictures?|images?|media,remote,kernels|backends|kernel support,latex
340;interactivity;flexib(le|ility),cells?
341;interactivity,language,integrated_content,ux;i?python,web|browser|http,cells?,mark(up|down)|HTML
342;language;i?python
344;integrated_content;rich (content|output)|figures?|pictures?|images?|media
345;ux;ux|interface|g?ui($|\W),simpl(e|icity)|clean
346;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
348;interactivity,dissemination;reproducibility,iterative|feedback|dynamic
350;ux;keyboard|hotkeys?|short-?cuts?|keybindings?,help
352;visualization,interactivity,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,graph(s|ic|ing),in-?line
353;hosting,visualization,ux;plot(ting)?,setup,simpl(e|icity)|clean
355;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,ux|interface|g?ui($|\W),simpl(e|icity)|clean
356;interactivity,language;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,languages?
358;;
366;language,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,languages?
370;visualization,integrated_content,ux;graph(s|ic|ing),simpl(e|icity)|clean,contained,mark(up|down)|HTML,latex,combine|(text|code) (and|with)|and (code|text)
374;interactivity,visualization,integrated_content;cells?,mark(up|down)|HTML,interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,plot(ting)?,latex,combine|(text|code) (and|with)|and (code|text)
377;integrated_content;mark(up|down)|HTML
384;interactivity,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,cells?
385;hosting,ux;setup,ux|interface|g?ui($|\W),simpl(e|icity)|clean
389;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
393;interactivity;explor(e|atory)|experiment|sandbox|prototype
394;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,simpl(e|icity)|clean,design
396;integrated_content;rich (content|output)|figures?|pictures?|images?|media,in-?line
398;visualization,integrated_content,ux;plot(ting)?,doc(s|umentation)?($|\W),latex,mark(up|down)|HTML
399;ux;ux|interface|g?ui($|\W),looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
400;organization,hosting,interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,platform,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,folder structure,install
402;hosting,integrated_content,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,mark(up|down)|HTML,install
403;interactivity,language,dissemination,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,shar(e|ing),i?python
406;dissemination;tell a story
408;interactivity,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,iterat(e|ion),looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
411;interactivity,language,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,web|browser|http,simpl(e|icity)|clean,i?python,design
412;visualization,integrated_content;graph(s|ic|ing),in-?line,mark(up|down)|HTML
413;integrated_content;rich (content|output)|figures?|pictures?|images?|media
414;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
418;interactivity,ux;simpl(e|icity)|clean,flexib(le|ility)
421;visualization,ux;visual|eye candy,simpl(e|icity)|clean,graph(s|ic|ing)
425;interactivity,visualization;visual|eye candy,iterative|feedback|dynamic
428;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?
431;hosting,interactivity;run,server
433;ux;pleasure to use
434;visualization;plot(ting)?
437;integrated_content,ux;rich (content|output)|figures?|pictures?|images?|media,doc(s|umentation)?($|\W),integrated?
439;dissemination,cost,integrated_content,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,cost,integrated?,shar(e|ing)
441;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?
445;integrated_content,ux;rich (content|output)|figures?|pictures?|images?|media,eas(e|y|iness)(\sof|\sto)?(\suse|install)?
450;interactivity;run,cells?
453;visualization,integrated_content;plot(ting)?,combine|(text|code) (and|with)|and (code|text)
458;interactivity,dissemination,persistence,integrated_content;(auto)?sav(e|ing),workflow,shar(e|ing),mark(up|down)|HTML
460;integrated_content;rich (content|output)|figures?|pictures?|images?|media,in-?line
462;;
463;dissemination,hosting,ux;platform,keyboard|hotkeys?|short-?cuts?|keybindings?,shar(e|ing),nbviewer
471;integrated_content;rich (content|output)|figures?|pictures?|images?|media
472;visualization,integrated_content,ux;doc(s|umentation)?($|\W),all(\s|-)in(\s|-)one|one place,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,mark(up|down)|HTML,plot(ting)?,combine|(text|code) (and|with)|and (code|text)
473;interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,eas(e|y|iness)(\sof|\sto)?(\suse|install)?
474;hosting,integrated_content;rich (content|output)|figures?|pictures?|images?|media,portability
475;hosting,ux;platform,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,doc(s|umentation)?($|\W)
480;hosting,language,integrated_content;portability,i?python,mathjax
482;hosting;install
483;interactivity,visualization,integrated_content,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,doc(s|umentation)?($|\W),latex,mark(up|down)|HTML,(ipy)?widgets
486;visualization;visual|eye candy,vi(s|z)ualization
487;ecosystem;pandas
488;ux;keyboard|hotkeys?|short-?cuts?|keybindings?
491;dissemination,language,integrated_content;languages?,mark(up|down)|HTML,export
492;ecosystem,persistence,ux;matplotlib,magics?,(auto)?sav(e|ing),ux|interface|g?ui($|\W),simpl(e|icity)|clean
495;language;i?python
496;interactivity,ux,integrated_content;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,run,mark(up|down)|HTML
498;;
499;visualization,ux;plot(ting)?,eas(e|y|iness)(\sof|\sto)?(\suse|install)?
500;language,integrated_content;latex,mark(up|down)|HTML,i?python
504;hosting,interactivity,extensible;cloud,workflow,exten(d|sible|sions)
505;interactivity,dissemination;collaborat(e|ion|ive|ors),iterative|feedback|dynamic,cells?
509;stability,ux;web|browser|http,stable
515;ecosystem,integrated_content;community|ecosystem|open source,integrated?,tool(ing)?
517;hosting,ecosystem;community|ecosystem|open source,cloud
519;interactivity;cells?
525;visualization,language,dissemination,ux;visual|eye candy,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,shar(e|ing),vi(s|z)ualization,i?python
534;hosting,ecosystem;community|ecosystem|open source,install
535;visualization,persistence,integrated_content;plot(ting)?,permanent record,in-?line
536;interactivity;cells?
541;interactivity,integrated_content,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,rich (content|output)|figures?|pictures?|images?|media,completion
542;integrated_content;rich (content|output)|figures?|pictures?|images?|media,latex
549;dissemination,ux;web|browser|http,shar(e|ing)
551;interactivity;cell execution,cells?
556;dissemination,ecosystem,ux;teaching,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,tool(ing)?
559;visualization,interactivity,language,ux;i?python,visual|eye candy,cells?,looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
561;visualization,ux;plot(ting)?,ux|interface|g?ui($|\W),web|browser|http,completion
575;interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,doc(s|umentation)?($|\W),simpl(e|icity)|clean
576;dissemination,language,ecosystem,integrated_content;bash,export,github,pdf,mark(up|down)|HTML,i?python,combine|(text|code) (and|with)|and (code|text)
578;interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,eas(e|y|iness)(\sof|\sto)?(\suse|install)?
579;language,ux;ux|interface|g?ui($|\W),web|browser|http,languages?
584;dissemination,ux;keyboard|hotkeys?|short-?cuts?|keybindings?,shar(e|ing)
587;interactivity,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,rich (content|output)|figures?|pictures?|images?|media
592;interactivity,visualization,ux,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,responsive,rich (content|output)|figures?|pictures?|images?|media,plot(ting)?
594;dissemination,ecosystem,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,others,shar(e|ing),github
595;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?
600;interactivity,ux,integrated_content;run,keyboard|hotkeys?|short-?cuts?|keybindings?,mark(up|down)|HTML,cells?
605;visualization;visual|eye candy,vi(s|z)ualization
606;interactivity,ux,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,iterative|feedback|dynamic,ux|interface|g?ui($|\W),mark(up|down)|HTML
607;ux;looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
612;dissemination,ux,integrated_content;links,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,ux|interface|g?ui($|\W),web|browser|http,export
616;interactivity,visualization,language,integrated_content;bash,visual|eye candy,vi(s|z)ualization,interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,integrated?,i?python
620;dissemination,persistence;(auto)?sav(e|ing),nbviewer
623;dissemination,ecosystem,integrated_content;matplotlib,nbconvert,in-?line,mark(up|down)|HTML
627;interactivity,persistence,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,rich (content|output)|figures?|pictures?|images?|media,state
630;visualization,interactivity,integrated_content;vi(s|z)ualization,visual|eye candy,cells?,in-?line,combine|(text|code) (and|with)|and (code|text)
643;hosting,extensible,interactivity,ecosystem,ux,language;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,remote,kernels|backends|kernel support,cells?,matplotlib,i?python
646;ux,integrated_content;modal,keyboard|hotkeys?|short-?cuts?|keybindings?,latex,completion,mark(up|down)|HTML
654;interactivity,language,ecosystem,ux;magics?,keyboard|hotkeys?|short-?cuts?|keybindings?,languages?,cells?
661;ux;keyboard|hotkeys?|short-?cuts?|keybindings?
662;ux;web|browser|http
663;hosting,extensible;centralized,plugin
664;hosting,interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,remote,simpl(e|icity)|clean
666;organization,language;i?python,organiz(e|ation)
667;dissemination,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,others,shar(e|ing)
668;dissemination,visualization,ux,integrated_content;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,web|browser|http,export,in-?line,graph(s|ic|ing)
669;visualization,integrated_content;graph(s|ic|ing),in-?line
671;interactivity,ecosystem,integrated_content;matplotlib,magics?,cells?,in-?line
677;interactivity,visualization,ecosystem;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,community|ecosystem|open source,graph(s|ic|ing),librar(y|ies),explor(e|atory)|experiment|sandbox|prototype
681;hosting,integrated_content,extensible,dissemination,interactivity,ux,visualization;visual|eye candy,web|browser|http,vi(s|z)ualization,remote,shar(e|ing),cells?,modular,combine|(text|code) (and|with)|and (code|text)
682;cost;cheaper
689;ecosystem,ux;matplotlib,pandas,doc(s|umentation)?($|\W)
700;organization,ux;aesthetic(s|ally),organiz(e|ation)
706;language,ecosystem;i?python,sqlalchemy
711;dissemination,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,others,web|browser|http
712;visualization,integrated_content;embedded,(ipy)?widgets
716;language,integrated_content;i?python,combine|(text|code) (and|with)|and (code|text)
718;interactivity,visualization,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,plot(ting)?,in-?line,combine|(text|code) (and|with)|and (code|text)
729;stability;full featured,mature
731;interactivity,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,rich (content|output)|figures?|pictures?|images?|media
738;visualization,hosting,integrated_content;visual|eye candy,remote,integrated?,vi(s|z)ualization
740;ecosystem,integrated_content;matplotlib,embedded
741;interactivity,persistence,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,rich (content|output)|figures?|pictures?|images?|media,iterative|feedback|dynamic,persist(ence|ent)?
742;interactivity,integrated_content,ux;doc(s|umentation)?($|\W),ux|interface|g?ui($|\W),cells?,in-?line
749;visualization,persistence,integrated_content;visual|eye candy,persist(ence|ent)?,vi(s|z)ualization,combine|(text|code) (and|with)|and (code|text)
750;dissemination,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,collaborat(e|ion|ive|ors)
753;hosting,interactivity;aws,explor(e|atory)|experiment|sandbox|prototype
755;ecosystem;pandas
757;interactivity,dissemination,ux,integrated_content;doc(s|umentation)?($|\W),simpl(e|icity)|clean,run,export,cells?,mark(up|down)|HTML
759;interactivity,dissemination,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,web|browser|http,shar(e|ing),cells?
763;ecosystem,extensible;matplotlib,modular
764;interactivity,dissemination,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,iterative|feedback|dynamic,shar(e|ing)
765;visualization,integrated_content;plot(ting)?,litera(te|cy) programming,visual|eye candy,in-?line
766;interactivity,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,iterat(e|ion),mark(up|down)|HTML,combine|(text|code) (and|with)|and (code|text)
771;dissemination,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,team,shar(e|ing)
773;visualization,integrated_content,ux;plot(ting)?,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,integrated?
780;visualization,persistence;plot(ting)?,(auto)?sav(e|ing),state
781;ux;design
785;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?
786;visualization,interactivity,dissemination,integrated_content;combine|(text|code) (and|with)|and (code|text),run,shar(e|ing),in-?line,(ipy)?widgets
804;integrated_content;rich (content|output)|figures?|pictures?|images?|media,in-?line
806;extensible,ux;doc(s|umentation)?($|\W),modular
808;visualization,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,web|browser|http,(display|see) (data|charts?|plots?)
814;interactivity,ux;run,web|browser|http,keyboard|hotkeys?|short-?cuts?|keybindings?,cells?
815;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?
816;visualization,interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,plot(ting)?,eas(e|y|iness)(\sof|\sto)?(\suse|install)?
821;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?
823;dissemination,hosting,ux;aesthetic(s|ally),hosting,export
824;integrated_content;in-?line
